rows 2577412 pass 2518732 reject {'cars>12': 2292, 'trucks>4': 56388} 9s
moves  total   w0     w1     w2   cluster p5/p50/p95
    1       1      1      0      0   [5, 5, 5]
    2       8      8      0      0   [23, 23, 23]
    3     176    128     48      0   [22, 60, 395]
    4    1754    767    786    201   [44, 182, 1394]
    5   11647   3558   5503   2586   [67, 442, 3719]
    6   45279  10529  21231  13519   [65, 690, 7176]
    7  104783  20744  48043  35996   [72, 880, 9580]
    8  173449  32770  78095  62584   [87, 1033, 10643]
    9  240816  45741 107007  88068   [115, 1269, 11777]
   10  285576  55682 125965 103929   [148, 1479, 12951]
   11  290423  57300 126720 106403   [180, 1678, 14359]
   12  260432  49401 112239  98792   [199, 1782, 14740]
   13  215492  38916  91283  85293   [216, 1788, 14092]
   14  176068  29252  73426  73390   [233, 1881, 13889]
   15  146081  22611  60274  63196   [264, 2032, 13971]
   16  122140  17800  50364  53976   [288, 2246, 14649]
   17  100676  13719  41477  45480   [315, 2373, 15336]
   18   80951  10940  33434  36577   [346, 2568, 16065]
   19   63713   8520  26451  28742   [375, 2688, 16900]
   20   49455   6708  20563  22184   [390, 2776, 17345]
   21   37801   5220  15697  16884   [406, 2971, 17788]
   22   28869   3979  11963  12927   [422, 3059, 18489]
   23   21615   3086   8832   9697   [465, 3217, 19408]
   24   16146   2256   6586   7304   [466, 3261, 18729]
   25   11949   1709   4928   5312   [498, 3493, 19461]
   26    8611   1236   3603   3772   [530, 3614, 19059]
   27    6495    948   2681   2866   [635, 3753, 20377]
   28    4685    702   1977   2006   [628, 3807, 21082]
   29    3499    547   1482   1470   [654, 4091, 22724]
   30    2439    377   1023   1039   [663, 4337, 21793]
   31    1819    302    770    747   [691, 4497, 22271]
   32    1453    220    596    637   [528, 3806, 20407]
   33    1051    170    443    438   [573, 3843, 21316]
   34     857    123    365    369   [549, 3677, 19488]
   35     648    112    260    276   [491, 3810, 23463]
   36     487     84    174    229   [615, 3904, 20649]
   37     370     68    153    149   [524, 3218, 21104]
   38     244     45     90    109   [794, 3750, 21899]
   39     209     38     74     97   [610, 3000, 18413]
   40     141     24     68     49   [744, 3224, 20359]
   41      99     30     37     32   [678, 3275, 18263]
   42      91     25     36     30   [1031, 3385, 12528]
   43      63     16     24     23   [916, 3188, 20991]
   44      58     15     20     23   [495, 4141, 21762]
   45      28      8     14      6   [1170, 6197, 15043]
   46      22      9      5      8   [1142, 5990, 25007]
   47      16      4      7      5   [7651, 7651, 7651]
   48      14      3      4      7   [54515, 54515, 54515]
   49      10      4      3      3   [24132, 24132, 24132]
   50       8      1      5      2   [14385, 14385, 14385]
   51       2      1      0      1   [9360, 9360, 9360]
   52       2      0      1      1   [7178, 7178, 7178]
   53       3      0      1      2   [4705, 4705, 4705]
   54       4      0      1      3   [6355, 6355, 6355]
   55       2      0      1      1   [9712, 9712, 9712]
   58       1      0      0      1   [9192, 9192, 9192]
   60       1      0      1      0   [2332, 2332, 2332]
